1 , 79577
3 , 92187
5 , 96483
7 , 106418
9 , 120815
11 , 130958
13 , 150547
15 , 152215
17 , 162766
19 , 170690
21 , 169675
23 , 182662
25 , 179945
27 , 181715
29 , 185825
